"","wp","year","date","outgovcoa","chdate","chancellor","opcandidate","outgovshare","prelecshare","logterms","gergrow","benchgrow","pid"
"1",1,1949,"14.08.1949","","15.09.1949","","",NA,NA,NA,NA,NA,NA
"2",2,1953,"06.09.1953","CDU/CSU, FDP and DP","15.09.1949","Konrad Adenauer","Erich Ollenhauer",58,46.9000015258789,0,NA,NA,NA
"3",3,1957,"15.09.1957","CDU/CSU, DP","15.09.1949","Konrad Adenauer","Erich Ollenhauer",53.5999984741211,48.5,0.30103000998497,NA,NA,NA
"4",4,1961,"17.09.1961","CDU/CSU","15.09.1949","Konrad Adenauer","Willy Brandt",45.4000015258789,50.2000007629395,0.477121263742447,NA,NA,NA
"5",5,1965,"19.09.1965","CDU/CSU and FDP","16.10.1963","Ludwig Erhard","Willy Brandt",57.0999984741211,58.2000007629395,0.60206001996994,NA,NA,NA
"6",6,1969,"28.09.1969","CDU/CSU and SPD","01.12.1966","Kurt Georg Kiesinger","Willy Brandt",46.0999984741211,47.5999984741211,0.698970019817352,NA,NA,NA
"7",7,1972,"19.11.1972","SPD and FDP","21.10.1969","Willy Brandt","Rainer Barzel",54.2000007629395,48.5,0,NA,NA,NA
"8",8,1976,"03.10.1976","SPD and FDP","16.05.1974","Helmut Schmidt","Helmut Kohl",50.5,54.2000007629395,0.30103000998497,NA,NA,NA
"9",9,1980,"05.10.1980","SPD and FDP","16.05.1974","Helmut Schmidt","Franz Josef Strauß",53.5,50.5,0.477121263742447,1.26999998092651,1.8033332824707,46.4416656494141
"10",10,1983,"06.03.1983","CDU/CSU and FDP","01.10.1982","Helmut Kohl","Hans-Jochen Vogel",55.7999992370605,55.0999984741211,0,1.55999994277954,-0.430000066757202,30.4883327484131
"11",11,1987,"25.01.1987","CDU/CSU and FDP","01.10.1982","Helmut Kohl","Johannes Rau",53.4000015258789,55.7999992370605,0.30103000998497,1.47000002861023,-2.10999989509583,34.3833312988281
"12",12,1990,"02.12.1990","CDU/CSU and FDP","01.10.1982","Helmut Kohl","Oskar Lafontaine",54.7999992370605,53.4000015258789,0.477121263742447,5.71999979019165,3.55333304405212,35.3899993896484
"13",13,1994,"16.10.1994","CDU/CSU and FDP","01.10.1982","Helmut Kohl","Rudolf Scharping",48.4000015258789,54.7999992370605,0.60206001996994,2.52999997138977,-0.463333368301392,23.9733333587646
"14",14,1998,"27.09.1998","CDU/CSU and FDP","01.10.1982","Helmut Kohl","Gerhard Schröder",41.2999992370605,48.4000015258789,0.698970019817352,1.6599999666214,-1.12333333492279,25.908332824707
"15",15,2002,"22.09.2002","SPD and Greens","27.10.1998","Gerhard Schröder","Edmund Stoiber",47.0999984741211,47.5999984741211,0,0.0299999993294477,-1.24000000953674,27.3850002288818
"16",16,2005,"18.09.2005","SPD and Greens","27.10.1998","Gerhard Schröder","Angela Merkel",42.2999992370605,47.0999984741211,0.30103000998497,0.839999973773956,-1.00333333015442,28.5233325958252
"17",17,2009,"27.09.2009","CDU/CSU and SPD","22.11.2005","Angela Merkel","Frank-Walter Steinmeier",33.7999992370605,35.2000007629395,0,-5.07000017166138,-0.866666793823242,25.4866676330566
"18",18,2013,"22.09.2013","CDU/CSU and FPD","22.11.2005","Angela Merkel","Peer Steinbrück",NA,48.4000015258789,0.30103000998497,0.610000014305115,0.893333315849304,28.9416675567627
